"nis","nama","keterangan","jurusan"
"10001","Siswa Tes tes 1","Lulus","TJKT"
"10002","Siswa Tes 2","Lulus","TITL"
"10003","Siswa Tes 3","Lulus","KA"
"10004","Siswa Tes 4","Lulus","DKV"
"10005","Siswa Tes 5","Lulus","BCPF"
"10006","Siswa Tes 6","Lulus","OTO"
"10007","Siswa Tes 7","Lulus","LAS"
"10008","Siswa Tes 8","Lulus","MESIN"
"10009","Siswa Tes 9","Lulus","TJKT"
"10010","Siswa Tes 10","Lulus","TOI"
"10011","Siswa Tes 11","Lulus","TITL"
"10012","Siswa Tes 12","Lulus","KA"
"10013","Siswa Tes 13","Lulus","DKV"
"10014","Siswa Tes 14","Lulus","BCPF"
"10015","Siswa Tes 15","Lulus","OTO"
"10016","Siswa Tes 16","Lulus","LAS"
"10017","Siswa Tes 17","Lulus","MESIN"
"10018","Siswa Tes 18","Lulus","TJKT"
"10019","Siswa Tes 19","Lulus","TOI"
"10020","Siswa Tes 20","Lulus","TITL"
"10021","Siswa Tes 21","Lulus","KA"
"10022","Siswa Tes 22","Lulus","DKV"
"10023","Siswa Tes 23","Lulus","BCPF"
"10024","Siswa Tes 24","Lulus","OTO"
"10025","Siswa Tes 25","Lulus","LAS"
"10026","Siswa Tes 26","Lulus","MESIN"
"10027","Siswa Tes 27","Lulus","TJKT"
"10028","Siswa Tes 28","Lulus","TOI"
"10029","Siswa Tes 29","Lulus","TITL"
"10030","Siswa Tes 30","Lulus","KA"
"10031","Siswa Tes 31","Lulus","DKV"
"10032","Siswa Tes 32","Lulus","BCPF"
"10033","Siswa Tes 33","Lulus","OTO"
"10034","Siswa Tes 34","Lulus","LAS"
"10035","Siswa Tes 35","Lulus","MESIN"
"10036","Siswa Tes 36","Lulus","TJKT"
"10037","Siswa Tes 37","Lulus","TOI"
"10038","Siswa Tes 38","Lulus","TITL"
"10039","Siswa Tes 39","Lulus","KA"
"10040","Siswa Tes 40","Lulus","DKV"
"10041","Siswa Tes 41","Lulus","BCPF"
"10042","Siswa Tes 42","Lulus","OTO"
"10043","Siswa Tes 43","Lulus","LAS"
"10044","Siswa Tes 44","Lulus","MESIN"
"10045","Siswa Tes 45","Lulus","TJKT"
"10046","Siswa Tes 46","Lulus","TOI"
"10047","Siswa Tes 47","Lulus","TITL"
"10048","Siswa Tes 48","Lulus","KA"
"10049","Siswa Tes 49","Lulus","DKV"
"10050","Siswa Tes 50","Lulus","BCPF"
"10051","Siswa Tes 51","Lulus","OTO"
"10052","Siswa Tes 52","Lulus","LAS"
"10053","Siswa Tes 53","Lulus","MESIN"
"10054","Siswa Tes 54","Lulus","TJKT"
"10055","Siswa Tes 55","Lulus","TOI"
"10056","Siswa Tes 56","Lulus","TITL"
"10057","Siswa Tes 57","Lulus","KA"
"10058","Siswa Tes 58","Lulus","DKV"
"10059","Siswa Tes 59","Lulus","BCPF"
"10060","Siswa Tes 60","Lulus","OTO"
"10061","Siswa Tes 61","Lulus","LAS"
"10062","Siswa Tes 62","Lulus","MESIN"
